Symbol,Date,Open,High,Low,Close,AdjClose,Volume
TSLA,2019-06-20,223.0,226.9,216.35,219.62,14.6413333333,11863462
TSLA,2019-06-21,216.22,222.18,215.5,221.86,14.7906666667,8202078
TSLA,2019-06-24,223.24,225.86,221.02,223.64,14.9093333333,5750771
TSLA,2019-06-25,224.39,225.34,219.49,219.76,14.6506666667,6182071
TSLA,2019-06-26,220.31,227.23,218.1,219.27,14.618,8507208
TSLA,2019-06-27,219.45,222.9,217.35,222.84,14.856,6339710
TSLA,2019-06-28,220.99,225.17,220.8,223.46,14.8973333333,6851384
TSLA,2019-07-01,230.21,233.1,226.28,227.17,15.1446666667,8237964
TSLA,2019-07-02,228.89,229.15,222.22,224.55,14.97,9259027
TSLA,2019-07-03,239.39,241.57,234.51,234.9,15.66,14201148
